date,rainfall_mm,reservoir_m,temp_c,disp_rate_mm_d
2023-01-01,0.0,157.86,4.8,0.056
2023-01-02,0.0,157.73,1.7,0.053
2023-01-03,0.0,157.61,2.9,0.052
2023-01-04,0.0,157.48,2.7,0.047
2023-01-05,2.7,157.37,5.8,0.187
2023-01-06,0.0,157.25,5.5,0.208
2023-01-07,0.0,157.12,4.4,0.133
2023-01-08,0.0,156.98,1.1,0.135
2023-01-09,2.7,156.85,3.1,0.276
2023-01-10,0.0,156.71,2.1,0.249
2023-01-11,0.0,156.57,5.3,0.203
2023-01-12,0.0,156.42,5.9,0.194
2023-01-13,0.0,156.3,5.6,0.163
2023-01-14,0.0,156.19,1.9,0.117
2023-01-15,0.0,156.06,-2.1,0.134
2023-01-16,1.8,155.89,-0.2,0.2
2023-01-17,0.0,155.76,6.1,0.161
2023-01-18,1.9,155.6,2.4,0.287
2023-01-19,0.0,155.44,1.7,0.259
2023-01-20,0.0,155.27,6.4,0.23
2023-01-21,0.0,155.09,5.6,0.195
2023-01-22,0.0,154.94,3.1,0.126
2023-01-23,0.0,154.76,2.5,0.121
2023-01-24,0.0,154.58,2.8,0.174
2023-01-25,0.0,154.39,3.5,0.09
2023-01-26,1.5,154.18,6.2,0.198
2023-01-27,0.0,154.01,3.9,0.153
2023-01-28,3.4,153.84,4.5,0.347
2023-01-29,2.7,153.66,5.3,0.44
2023-01-30,0.0,153.5,0.7,0.405
2023-01-31,0.0,153.33,4.5,0.347
2023-02-01,0.0,153.14,2.4,0.285
2023-02-02,0.0,152.92,-2.0,0.239
2023-02-03,0.0,152.69,-1.2,0.227
2023-02-04,0.0,152.5,1.0,0.174
2023-02-05,5.2,152.3,4.2,0.482
2023-02-06,2.5,152.09,3.3,0.607
2023-02-07,0.0,151.9,3.5,0.508
2023-02-08,0.6,151.7,7.1,0.47
2023-02-09,0.0,151.5,0.7,0.396
2023-02-10,0.0,151.32,3.2,0.31
2023-02-11,0.0,151.14,3.9,0.274
2023-02-12,0.0,150.94,1.9,0.292
2023-02-13,0.0,150.72,3.5,0.207
2023-02-14,0.0,150.54,0.3,0.175
